,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,2.6022801068481782,-5.294598642317241,-9.544408169746509,16.52935086969768,-6.182606105386821,-28.495521581212472,27.44205289610756,-20.90845955618841,-6.09446268189706,-2.9841587509022833
2,6.195491972207151,-2.6889810448626,-11.132115385648714,15.985474964274715,-7.281478337776188,-28.74196663603378,32.358684298152575,-19.814554943708607,-3.1925694409498,-5.534358128799396
3,6.195491972207151,-2.6889810448626,-11.132115385648714,15.985474964274715,-7.281478337776188,-28.74196663603378,32.358684298152575,-19.814554943708607,-3.1925694409498,-5.534358128799396
4,1.858816398102946,-5.858155898250408,-10.540498537503902,18.712710130259403,-6.642670784814675,-28.708847715787748,30.098518884212716,-20.531584590535253,-1.8314956986014523,-3.781781548564653
5,1.858816398102946,-5.858155898250408,-10.540498537503902,18.712710130259403,-6.642670784814675,-28.708847715787748,30.098518884212716,-20.531584590535253,-1.8314956986014523,-3.781781548564653
6,1.858816398102946,-5.858155898250408,-10.540498537503902,18.712710130259403,-6.642670784814675,-28.708847715787748,30.098518884212716,-20.531584590535253,-1.8314956986014523,-3.781781548564653
7,2.168628690789821,-6.135906542229907,-10.314895676092474,18.163730458922906,-5.858865320588296,-28.92346325688346,30.832071105432735,-21.15626751687593,-4.971483745393903,-8.586908646474571
8,4.956582375411686,-4.662392160282398,-9.294319731248411,14.772678568443554,-5.8043623246868306,-27.242972531795175,27.9345104276261,-23.124553024048325,-3.155178764802128,-4.48278298372077
9,4.956582375411686,-4.662392160282398,-9.294319731248411,14.772678568443554,-5.8043623246868306,-27.242972531795175,27.9345104276261,-23.124553024048325,-3.155178764802128,-4.48278298372077
10,4.956582375411686,-4.662392160282398,-9.294319731248411,14.772678568443554,-5.8043623246868306,-27.242972531795175,27.9345104276261,-23.124553024048325,-3.155178764802128,-4.48278298372077
11,4.956301840076653,-2.08587722447131,-11.65636733651717,15.483530950905875,-6.464576791874929,-28.25974170686432,27.819462047255524,-23.00060448435268,-5.679439359711028,-4.445256647918219
12,4.956582375411686,-4.662392160282398,-9.294319731248411,14.772678568443554,-5.8043623246868306,-27.242972531795175,27.9345104276261,-23.124553024048325,-3.155178764802128,-4.48278298372077
13,4.956301840076653,-2.08587722447131,-11.65636733651717,15.483530950905875,-6.464576791874929,-28.25974170686432,27.819462047255524,-23.00060448435268,-5.679439359711028,-4.445256647918219
14,4.95630184253076,-2.085754747118671,-11.656494408386042,15.485046515049273,-6.465911318807633,-28.23251118775604,27.798386252618933,-22.837492288246786,-5.926832721332834,-4.379828864000837
15,4.95630184253076,-2.085754747118671,-11.656494408386042,15.485046515049273,-6.465911318807633,-28.23251118775604,27.798386252618933,-22.837492288246786,-5.926832721332834,-4.379828864000837
16,4.95630184253076,-2.085754747118671,-11.656494408386042,15.485046515049273,-6.465911318807633,-28.23251118775604,27.798386252618933,-22.837492288246786,-5.926832721332834,-4.379828864000837
18,4.95630184253076,-2.085754747118671,-11.656494408386042,15.485046515049273,-6.465911318807633,-28.23251118775604,27.798386252618933,-22.837492288246786,-5.926832721332834,-4.379828864000837
20,4.956582454865513,-4.6847591338264,-9.351461351827885,14.680028714879185,-5.950212487501453,-27.100153401962583,27.850311513960932,-22.756753884881324,-3.615233307397582,-4.202398159817884
21,4.956582452411407,-4.684881611179039,-9.35133427995901,14.678513150735787,-5.948877960568758,-27.127383921070866,27.871387308597537,-22.919866080987216,-3.3678399457757764,-4.267825943735267
22,4.956582452411407,-4.684881611179039,-9.35133427995901,14.678513150735787,-5.948877960568758,-27.127383921070866,27.871387308597537,-22.919866080987216,-3.3678399457757764,-4.267825943735267
23,4.956582452411407,-4.684881611179039,-9.35133427995901,14.678513150735787,-5.948877960568758,-27.127383921070866,27.871387308597537,-22.919866080987216,-3.3678399457757764,-4.267825943735267
24,4.956582452411407,-4.684881611179039,-9.35133427995901,14.678513150735787,-5.948877960568758,-27.127383921070866,27.871387308597537,-22.919866080987216,-3.3678399457757764,-4.267825943735267
25,4.956582449957302,-4.685004088531677,-9.351207208090136,14.676997586592387,-5.947543433636055,-27.15461444017915,27.89246310323413,-23.082978277093105,-3.1204465841539712,-4.333253727652643
26,4.956582447503195,-4.685126565884317,-9.351080136221261,14.675482022448985,-5.94620890670336,-27.181844959287435,27.913538897870737,-23.246090473199,-2.8730532225321657,-4.398681511570026
27,4.956582449957302,-4.685004088531677,-9.351207208090136,14.676997586592387,-5.947543433636055,-27.15461444017915,27.89246310323413,-23.082978277093105,-3.1204465841539712,-4.333253727652643
28,4.956582447503195,-4.685126565884317,-9.351080136221261,14.675482022448985,-5.94620890670336,-27.181844959287435,27.913538897870737,-23.246090473199,-2.8730532225321657,-4.398681511570026
29,4.956582447503195,-4.685126565884317,-9.351080136221261,14.675482022448985,-5.94620890670336,-27.181844959287435,27.913538897870737,-23.246090473199,-2.8730532225321657,-4.398681511570026
30,4.956582447503195,-4.685126565884317,-9.351080136221261,14.675482022448985,-5.94620890670336,-27.181844959287435,27.913538897870737,-23.246090473199,-2.8730532225321657,-4.398681511570026
34,3.097803368046327,-4.0993485878312725,-10.635792674175068,15.751440352545345,-6.1985071770926385,-25.71534726770759,29.368692644398344,-22.38879308403033,-6.0720038344129605,-3.2331716013642757
35,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
