,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
bh,1.0116020413098918,-0.9797222852680398,-0.9890195388058273,0.2958410393155171,-0.2509399549715137,-1.1272359070292157,0.03376691313052313,0.7635831517335616,-1.0010623281742654,0.28256344620225127,0.703543644829788,-0.111616707983708,0.33724777463729616,-0.3442400918581896,0.8213876988110149,0.6980441167617644,0.8768804955674272,3.461020778814156,0.7319318022858121,0.4650195042594966,-0.4714664732590449
bn,-0.31127743723179346,-1.1319356119557993,-0.5901977750037729,0.11253805605153096,-0.2378410430337227,0.15277859283387696,-1.1143081333072633,-0.6335099912897899,0.18159705342473287,-0.5986669437423308,0.500856891689212,0.10312727816299391,-0.2102594591318638,-0.41473048851938255,-0.3566488540270013,0.8513836544063043,0.11122310420301626,0.011732273826488622,0.020427172133256323,-0.43004432116517155,-0.25875406051912425
cj,1.1034666038602823,-1.0304600608306265,0.8560789508718085,0.43331827676350637,1.5066533361099856,1.9348714898318287,1.164958503003048,2.643080653558698,-0.7858380482106597,2.0857623706387316,0.03757288451075271,1.7319401542191104,1.3392864862356328,1.7679542938111275,-0.9926221696358193,-0.265328195831106,1.2812164213441386,-0.23464547652977333,0.3432629028964267,0.6598275133225127,0.7854705111132135
mm,-0.44378871870642483,-0.6245578563299341,-0.9539582848452071,-0.46355703420671296,-0.21819267512703563,0.31260977808096047,0.3376691313052313,0.28117879293177656,-0.21997864982871215,-0.26525739231560935,0.21130438720267497,-0.08730606804257193,-0.5113809396600679,-0.5582287960082396,-0.514750631552184,-0.31533021897606467,0.2144578086566447,-0.23464547652977333,0.13014911984361488,-0.7038285501185995,0.9788454317858687
sm,-0.04193709095358202,-0.9797222852680398,-0.8838357769239668,0.6624470058434905,-0.6308084011674622,0.5270416787851214,-0.7259886323062473,-0.5270051328530322,-0.28540014148806825,-0.6458374269023814,0.7759317709514223,-0.6505025600122242,-0.374616601890286,-0.6538943343341442,0.04752110355617279,-0.005317675477320929,-0.0006144922884145598,0.011732273826488622,-0.5716493380114862,-0.16415771420078482,1.0175204159203997
sj,-0.23117511202578034,0.28872210379662316,-0.6822335666504009,0.6951796814263457,-0.48391346015080233,-0.028272415920388764,-0.6246878929146779,0.1746739344950188,-0.9892932930328836,-0.7069446437233561,1.3550367799244964,-0.6505025600122242,-0.1643714247485817,-0.7445248443271066,0.7334212962782064,0.06468515692562121,-0.1640694410066596,0.5044877745390125,-0.706691735193466,0.6335021066923754,-0.4521289811917794
ab,0.48498136425846344,1.1005265127980073,-0.30970774331881173,0.001246959069823731,1.5370615245370007,1.752455463191136,0.2363683919136619,0.47539353478704066,-0.9151062810425831,-0.15483557946367266,1.4563801564947845,-0.2777394142481378,0.6425681602724673,-0.34675760602466077,0.1640171501536759,2.314776198448761,0.4123243255260992,0.2581100241827506,-0.40495637898997994,0.1096265147526431,0.2053457490952481
bv,1.0389976320866696,-0.32013120295441516,0.27318560377649836,0.13872419651781417,1.132398709315948,2.0913521766304095,2.448101201962927,0.024314134349007886,1.0181200325293531,1.5047077826217445,-1.0482490073137614,-0.362826654042114,0.9930267758075335,0.879271793046802,-1.3314116929040682,-0.792016172958004,0.7306313309247869,0.7508655248952745,2.402237452430424,0.5729536714430595,-0.6068289177299035
cv,0.22710547716401228,1.1512642883605941,-1.256361600255556,0.001246959069823731,-0.18123503073112446,0.31571209145920354,0.3039022181747082,1.9100766278468948,0.16076006458875833,-0.5064700902931409,1.181305277232574,-0.6505025600122242,-0.1849160675933845,-0.636271735168846,1.0139627962477038,0.671376371084453,-0.24149546934688093,1.7363765263203221,0.5757890305441481,-0.2431339340911967,-0.8002038384025587
hr,-0.10968162249398347,0.7960998594224884,-1.1161165844130754,0.5511559088617843,-0.19386612438542303,-0.3038819364435035,0.2363683919136619,0.5129834848235434,-0.7300753486188359,-0.5568567427595587,1.4419025312704574,-0.6505025600122242,-0.14502646907719807,-0.6891395326647408,-0.2948346252201629,-0.22532657731513908,-0.15546654896885723,-0.23464547652977333,0.12339699998451589,0.0833011081225058,1.1335453683239929
ms,0.17722763526063978,-0.11718010070406891,-0.30094242982865665,0.020886564419537318,-0.377718709797994,1.899877394925247,0.0,0.8324980601338166,-0.3431050536475189,-0.1194577170936347,1.2536934033542084,-0.09946138801313997,-0.1303303012028136,-0.23346946853345785,0.2103778217588047,-0.2619947276214421,0.4209272175639016,0.7508655248952745,0.1512494944032992,0.412368690999222,0.22468324116251362
sb,1.144857768186066,-0.9289845097054533,0.3608387386780488,0.9635876212057546,2.3566791572159436,2.416102341064895,0.894823197958863,0.47539353478704066,2.2150295421784763,1.3857095182861623,0.6745883943811343,-0.4236032538949542,0.6293716013648567,0.00821189144777502,-1.0805885721686277,0.054684752296629474,1.3758482337599647,0.9972432752515364,0.4610029929394653,0.6229719440403204,0.08932079669165502
bc,-0.6488089822913321,0.18724655267145005,0.47478781405006426,-0.9283610274832508,-0.6504567690741491,-0.14206527063434476,0.2870187616094466,-0.7838697914358008,1.1921496436618244,-0.3445895685393308,-0.584965000135302,-0.026529468189731772,-0.509881330693294,-0.3618626910234879,-1.0912871886928883,-0.5486729936525384,-0.00921738432621693,0.011732273826488622,-0.5433748361015092,-0.6511777368583248,0.7467955269786826
