,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
tl,-1.986887375627713,-0.6548985000854919,-1.093965789212245,-0.6207314395182553,-0.07075675911988236,-0.501008863647374,-0.3148167887563437,0.014572617869796618,-1.3128743602983857,-0.7893208175810169,-0.5430239579563754,0.37757645011391966,0.5869386693094675,-0.43654851346824874,0.7436616853952764,-0.5529734237637152,0.03327750737693459,0.03980196835436866,-0.0704776677971401,0.103636801248642,-0.0668308293313165
vn,-2.2868794841125073,0.3995429115369617,-1.016867495852347,-0.45169504973191704,-2.065346568568614,-0.296843060094584,-0.1771136730458035,-0.6316216583723321,-0.4909301919926124,-0.4391569865139309,0.06563320269645538,-0.3617435579934954,0.5313725776379155,0.023600934003047587,-0.7533134769852451,-0.10738278011058167,-0.07973080355649921,0.01645607158926153,0.10328494706389137,0.07552828448098428,-0.22918853649423654
ag,0.9460945031435587,2.075573903425519,0.43016606954617365,0.6677934751764664,1.0152113500406474,-0.09305206156291904,0.07989141740112791,1.0224942764643168,0.4481595838136731,0.09004469074213409,-0.0599341586561528,0.2907196876065551,0.5774877564504255,-0.7392203609658959,0.22313349129114213,0.3420183658177039,0.2852524207345601,-0.3085373897039614,-0.15419402955947908,-0.024371114594465233,0.09344449489047688
cl,-3.65564999296704,-0.5127697359023261,-1.4289907768767613,-0.7270007439500559,-0.9443162113564145,-1.1390174876569623,-2.074368315897342,0.11470830907265615,0.1964782425426766,0.7270368802416199,0.015150573543245059,-0.040687588947034954,-0.03330816986823142,-0.7670201508434121,0.516987285809684,-0.18141298083387875,-0.0754278918540624,0.08147901592720502,-0.2592996751102191,0.028111564598249934,-0.017768460765149777
db,-1.8214923554118416,1.4122275562364213,-0.1700666151709323,0.5090251034527844,0.018683998510180797,0.03142387706236702,0.40035336747684624,0.040870770704875777,0.43036979134182796,0.4716641428125765,0.1341282193656833,1.1150498041053445,-0.48588184204492574,0.3366969519001363,-0.04728380562509553,0.10379194153632558,-0.20723152179880086,0.041818937604767646,-0.06222652622820164,-0.34401451518491505,-0.13998929042294947
gr,-3.2200745523909746,1.8431202060403626,-1.6163511467877705,-0.7617734730380264,0.4141515977658237,-1.2810942366095268,-0.060089039623933804,-0.4919806841159906,0.8847533178236976,-0.5518646212705199,0.004683251595807587,0.030448226638317148,-0.2211492088031406,0.2489762782596503,-0.08478600284825963,-0.1519705691642217,-0.27120313505306143,-0.3776058100875094,0.4024725603567633,0.13183643576358284,0.025260709754989317
il,-2.896615275363535,-1.1141195903234824,-2.020021402801776,-0.17264730282342983,-0.5602902802804032,-0.680860417111434,-0.2868609231470361,0.7311674471923136,-0.3937151589565019,0.5745491758992061,0.8515224676831824,0.7139916943396306,-1.1203160918718837,-0.18539512505125377,0.14232357136690021,-0.15568530668356184,0.28938898688426606,-0.27224255731697344,0.2781811465899854,-0.005542599066680394,-0.04994564246775049
ph,1.5461619973607363,1.2750154580556026,0.10021936869550381,0.5954508322742471,0.02102534703253669,1.1764650729990693,1.1448103482588705,-0.7592999467261744,1.1759431135876772,0.008330560452323173,0.06644782862280021,0.47194469433267616,-0.38046918476278335,0.3523186161205243,0.3509496968046183,-0.1322861727563505,0.12037677555382938,-0.009168188475615601,-0.4645940252303667,0.1578016196325845,-0.07254636955072463
tr,-3.0749289803231394,0.7930469220210864,-0.0620825270520695,0.2914394177906388,1.0000339927087967,-1.1873961644800317,-0.5615620602029376,-0.7113452277730399,0.20966904440880366,0.40401821026441137,0.11930998910268521,-0.49360108162720406,-0.010394850695231748,0.22195774030826929,-0.33942164251211143,0.11108400033906655,0.1393008523953036,-0.05735843475733456,0.019863502114731004,-0.21141190400697268,-0.02625261652258364
if,4.398484519625893,6.497161557207957,-1.3411602382804746,-3.5157062943943402,-0.2112830437864021,1.1783284467090664,0.3376892878019209,0.18850787142761785,-1.078512262163291,0.6939228249009874,-0.34182866925450595,-0.4618901117814068,-0.1480226728200078,-0.41828490052844597,0.03146668886715559,0.048218036229264814,0.16232174410803055,0.17196278485307898,0.04406535631756875,0.006680540945583315,-0.0007136146084135427
b,13.647025030081451,0.14623724380475045,0.08863387679656122,1.318539553514162,-0.8426239976541107,-2.7042768833236046,-0.4892653368456558,-0.3804266129021632,0.17895935626436218,-0.687064850645459,0.35617270915609744,-0.6209565271745476,-0.3332393075016988,-0.3102073541776567,-0.14655427205888913,-0.2438045883906338,-0.21195936229471746,-0.28719729640112457,-0.18779593569250216,-0.012605788437829016,-0.029541192012721904
dj,0.12460461156010928,1.2111427247757651,0.30320399079546245,1.5659237055756592,1.147178197273133,-1.0751524480597536,-0.5917755914088229,-0.4914201732704042,-0.5932317272805742,0.017428643139267615,-0.7502777706037729,1.1340630739479032,0.07851271824121486,0.2564909332501331,-0.5924879338142244,-0.03884697897454532,0.518242869823431,0.05789520727569212,-0.16104175153552772,0.11087420799978369,-0.07673613817195821
gj,0.012095652433608198,1.7656310831036097,1.2066756209963816,1.2126953484574234,1.2040604779875026,0.2507436807927746,0.054203572905226004,0.42598114563771283,-0.2400721861965038,-0.30308741801714173,1.7933677353506223,-0.38072225524221426,0.03369409333962008,0.37656566878070713,0.6889450379496025,0.30739584758712357,-0.2908857523663622,0.3734897223144561,0.11399382655965029,0.016793418832166597,-0.0708612043273983
mh,-1.794354271628349,0.6445036666812801,0.6609854306243672,0.4328958759692723,1.8979404330830172,-1.0845162551018577,0.020406047177210385,-1.4636410979287593,-0.8661834854289624,-0.4876112328515042,0.2209711804798213,0.13175304795872145,0.3634259196362245,0.5959429815953025,0.31786635745825353,0.40611827697074543,-0.06903232046729195,-0.09544915217505204,0.04909894702233267,0.2458390799876833,0.09226644747927694
ot,-2.5719891525174194,1.1135136302219357,-0.14187595986471913,0.023146324407341136,0.08874911567870386,-0.4832893767075853,-0.1818642777452009,0.21696946846328002,0.29274739410666123,-0.3247636007632714,0.3601429836984674,-0.025345878647841207,-0.06696925356128355,0.30009407845403346,0.015346371622581585,-0.23297799865707386,-0.08775853402510284,0.27998477767432667,0.05986565245461317,0.03190499198016922,0.04544834365827073
vl,-0.04812858260855934,-0.8498388595896013,-0.8168623590930905,0.4570185607217241,1.9790678589527821,0.3966691758850967,1.105147633478856,-0.11654895373887553,-0.006751954375159159,-1.644003211372494,-0.20710786583200586,0.0932617036000091,-0.005073171214314761,-0.9393677709143659,-0.08787388239848762,-0.2767512411058955,0.0940416037741115,0.47499469510521164,0.042915197624408916,-0.1253483966449748,-0.11742524331977293
ar,1.320896880734528,-1.9350698012726484,0.07771389346572596,-1.7384063683051214,-2.3402400017618423,-1.2995813799843476,0.876663452927681,-0.07889849968079442,-1.0912573573511402,0.41825319371134767,0.18830333689150172,0.9120243172514421,0.22597786310588985,0.21231156431402068,0.06843294243659469,0.918267753903711,0.08952460506281928,0.20896732186897832,-0.06961129699277978,-0.036559816843600566,-0.04798293098984415
cs,-1.0076666210376943,-1.122229966215751,-0.9227612081021235,-1.3653158132452339,1.1061626719495024,0.7332005148306989,-1.4041843619885324,-0.8452626214786982,-0.28665447417897577,0.5947005276006806,-0.28159690695994094,-0.3516893533559308,0.8309052715731122,0.4148448494730662,0.3096414184788592,0.22064073553350066,-0.07870250981653847,-0.4621582090696893,-0.14303543406765412,-0.04370103226299982,0.057860630707855104
hd,1.5013679473143215,-0.4652258363783109,1.984843811769742,1.3936794307443832,-0.796130714459228,1.25402779889867,1.004285263645889,-0.8820649646944934,-0.6975741341912364,0.9458285858927691,0.4507931019655551,-0.4179818082642963,0.21582618934416092,-0.0607418926875267,0.4122617532556417,-0.7127674592846475,0.5696744804766443,-0.20455702371020779,0.3940109428137407,-0.04889378401189478,0.03361946466806874
tm,3.8845929806405497,-0.7183104475010007,0.06733176624094461,-1.7962143486876196,0.11435116429533082,-0.989637850661237,0.516123314262428,0.4163929055817809,0.24001087145808828,0.28016251213633453,0.13580825910030178,-0.04031822813063279,0.45516029956391524,1.0821259204711262,0.11106035823652076,-0.3633010535975386,-0.20722422400632434,0.20887700232173398,-0.0151500948767467,-0.2575254647596282,0.041193016435660354
